Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.57      0.03     0.03       19     1.58     9.03  ThreadPool::ThreadPool(unsigned int)::{lambda(unsigned int)#1}::operator()(unsigned int) const
  5.72      0.05     0.02  6207552     0.00     0.00  std::atomic<bool>::load(std::memory_order) const
  5.72      0.07     0.02  1790514     0.00     0.00  std::__atomic_base<bool>::operator=(bool)
  5.72      0.09     0.02  1101605     0.00     0.00  std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*>::operator--()
  5.72      0.11     0.02  1097233     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::back()
  5.72      0.13     0.02   775967     0.00     0.00  std::remove_reference<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::type&& std::move<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&)
  4.29      0.15     0.02  2346698     0.00     0.00  ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&& std::forward<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>(std::remove_reference<ThreadPool::submit<benchmark_scaling()::{lambda(std::atomic<int>&)#1}, std::reference_wrapper<std::atomic<int> > >(benchmark_scaling()::{lambda(std::atomic<int>&)#1}&&, std::reference_wrapper<std::atomic<int> >&&)::{lambda()#1}>::type&)
  2.86      0.16     0.01  3195033     0.00     0.00  std::function<void ()>::~function()
  2.86      0.17     0.01  2992714     0.00     0.00  std::_Function_base::_M_empty() const
  2.86      0.18     0.01  2094323     0.00     0.00  std::function<void ()>::function(std::function<void ()>&&)
